fingerprint,gateway,oui,payload,rssi,sequence,snr,spreading,timestamp,date/time (pacific),payload (decoded),Sequence number,Lat,Long,Name,date/time,SNR
277859077,quick paisley pony,1,MDAwMDEsMzcuNzk0ODUsLTEyMi4zOTI2MAA=,-117,0,-9.25,SF10,1577222815,26:55.1,"00001,37.79485,-122.39260",1,37.79485,-122.3926,1,26:55.1,-6.75
1464387741,perfect charcoal albatross,1,MDAwMDIsMzcuNzk0OTQsLTEyMi4zOTI1NgA=,-114,1,-14.25,SF10,1577222824,27:03.7,"00002,37.79494,-122.39256",2,37.79494,-122.39256,1,27:04.6,-9
,,,,,,,,,,,3,37.79503,-122.39243,,,
3093729387,perfect charcoal albatross,1,MDAwMDQsMzcuNzk1MTIsLTEyMi4zOTIzNQA=,-115,3,-4.75,SF10,1577222844,27:23.6,"00004,37.79512,-122.39235",4,37.79512,-122.39235,1,27:23.6,-9
2642468525,perfect charcoal albatross,1,MDAwMDUsMzcuNzk1MjIsLTEyMi4zOTIyOAA=,-112,4,-5.5,SF10,1577222854,27:34.0,"00005,37.79522,-122.39228",5,37.79522,-122.39228,1,27:34.0,-3.5
,,,,,,,,,,,6,37.79524,-122.39227,,,
,,,,,,,,,,,7,37.79524,-122.39227,,,
,,,,,,,,,,,8,37.79525,-122.39226,,,
,,,,,,,,,,,9,37.79525,-122.39226,,,
755544648,brave butter unicorn,1,MDAwMDEsMzcuNzk1MjUsLTEyMi4zOTIyNgA=,-102,0,-8,SF10,1577222960,29:20.3,"00001,37.79525,-122.39226",1,37.79525,-122.39226,0,29:20.3,-8
3462123907,brave butter unicorn,1,MDAwMDIsMzcuNzk1MjUsLTEyMi4zOTIyNgA=,-91,1,-1.5,SF10,1577222970,29:29.8,#ERROR!,2,37.79525,-122.39226,1,29:30.6,-9.75
1606841615,electric pickle marmot,1,MDAwMDMsMzcuNzk1MjUsLTEyMi4zOTIyNgA=,-120,2,-14.5,SF10,1577222981,29:41.0,#ERROR!,3,37.79525,-122.39226,2,29:40.1,-3.75
,,,,,,,,,,,4,37.79525,-122.39226,,,
,,,,,,,,,,,5,37.79525,-122.39224,,,
1350282700,perfect charcoal albatross,1,MDAwMDYsMzcuNzk1MjEsLTEyMi4zOTIyMAA=,-116,5,-2.25,SF10,1577223010,30:10.4,"00006,37.79521,-122.39220",6,37.79521,-122.3922,2,30:10.4,-4.25
,,,,,,,,,,,7,37.79515,-122.39211,,,
,,,,,,,,,,,8,37.79513,-122.39218,,,
,,,,,,,,,,,9,37.79514,-122.39212,,,
4289251200,brave butter unicorn,1,MDAwMTAsMzcuNzk1MDksLTEyMi4zOTIyMAA=,-97,9,-3.5,SF10,1577223050,30:50.1,"00010,37.79509,-122.39220",10,37.79509,-122.3922,0,30:50.1,-3.5
3411006356,brave butter unicorn,1,MDAwMTEsMzcuNzk1MDEsLTEyMi4zOTIzNQA=,-99,10,-7.25,SF10,1577223060,30:59.6,"00011,37.79501,-122.39235",11,37.79501,-122.39235,0,30:59.6,-7.25
1029282231,quick paisley pony,1,MDAwMTIsMzcuNzk0OTIsLTEyMi4zOTI0NgA=,-115,11,-7.5,SF10,1577223070,31:10.0,#ERROR!,12,37.79492,-122.39246,2,31:10.0,-3.5
,,,,,,,,,,,13,37.79483,-122.39259,,,
